Mandelbrot Benchmark Started on Fri Mar 28 09:09:07 AM EDT 2025
[Serial] File: mandelbrot_serial_1024x768_500iter.ppm | Size: 1024x768 | Iter: 500 | Time: 0.726 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_1024x768_500iter.ppm | Size: 1024x768 | Iter: 500 | Time: 0.182 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_1024x768_500iter.ppm | Size: 1024x768 | Iter: 500 | Time: 0.150 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_1024x768_1000iter.ppm | Size: 1024x768 | Iter: 1000 | Time: 1.415 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_1024x768_1000iter.ppm | Size: 1024x768 | Iter: 1000 | Time: 0.355 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_1024x768_1000iter.ppm | Size: 1024x768 | Iter: 1000 | Time: 0.294 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_1024x768_5000iter.ppm | Size: 1024x768 | Iter: 5000 | Time: 6.924 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_1024x768_5000iter.ppm | Size: 1024x768 | Iter: 5000 | Time: 1.734 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_1024x768_5000iter.ppm | Size: 1024x768 | Iter: 5000 | Time: 1.447 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_1920x1080_500iter.ppm | Size: 1920x1080 | Iter: 500 | Time: 1.911 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_1920x1080_500iter.ppm | Size: 1920x1080 | Iter: 500 | Time: 0.479 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_1920x1080_500iter.ppm | Size: 1920x1080 | Iter: 500 | Time: 0.401 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_1920x1080_1000iter.ppm | Size: 1920x1080 | Iter: 1000 | Time: 3.731 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_1920x1080_1000iter.ppm | Size: 1920x1080 | Iter: 1000 | Time: 0.934 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_1920x1080_1000iter.ppm | Size: 1920x1080 | Iter: 1000 | Time: 0.773 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_1920x1080_5000iter.ppm | Size: 1920x1080 | Iter: 5000 | Time: 18.249 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_1920x1080_5000iter.ppm | Size: 1920x1080 | Iter: 5000 | Time: 4.569 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_1920x1080_5000iter.ppm | Size: 1920x1080 | Iter: 5000 | Time: 3.808 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_3840x2160_500iter.ppm | Size: 3840x2160 | Iter: 500 | Time: 7.633 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_3840x2160_500iter.ppm | Size: 3840x2160 | Iter: 500 | Time: 1.912 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_3840x2160_500iter.ppm | Size: 3840x2160 | Iter: 500 | Time: 1.574 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_3840x2160_1000iter.ppm | Size: 3840x2160 | Iter: 1000 | Time: 14.896 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_3840x2160_1000iter.ppm | Size: 3840x2160 | Iter: 1000 | Time: 3.734 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_3840x2160_1000iter.ppm | Size: 3840x2160 | Iter: 1000 | Time: 3.085 sec | Threads: 2 | MPI Ranks: 4
[Serial] File: mandelbrot_serial_3840x2160_5000iter.ppm | Size: 3840x2160 | Iter: 5000 | Time: 72.987 sec | Threads: 1 | MPI Ranks: 1
[OpenMP] File: mandelbrot_openmp_3840x2160_5000iter.ppm | Size: 3840x2160 | Iter: 5000 | Time: 18.272 sec | Threads: 4 | MPI Ranks: 1
[Hybrid] File: mandelbrot_hybrid_3840x2160_5000iter.ppm | Size: 3840x2160 | Iter: 5000 | Time: 15.207 sec | Threads: 2 | MPI Ranks: 4
